№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
1,06.12.2021понедельник,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Техники публичного выступления,67,535 (I),доц. Лапшина Светлана Сергеевна
2,06.12.2021понедельник,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Техники публичного выступления,67,535 (I),доц. Лапшина Светлана Сергеевна
3,06.12.2021понедельник,16.1,17.4,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
4,06.12.2021понедельник,17.5,19.2,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Россия в глобальной истории,67,535 (I),доц. Ветерков Александр Иванович
5,07.12.2021вторник,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
6,07.12.2021вторник,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
7,07.12.2021вторник,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
8,07.12.2021вторник,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
9,08.12.2021среда,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
10,08.12.2021среда,10.4,12.1,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Физика,67,535 (I),доц. Климова Татьяна Федоровна
11,08.12.2021среда,12.2,13.5,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
12,08.12.2021среда,14.3,16.0,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Математика,67,535 (I),доц. Головина Ольга Владимировна
13,09.12.2021четверг,9.0,10.3,лекция,"ЗАМ-1911, ЗАМ-1912, ЗВВ-1911",,Тайм-менеджмент и личная эффективность,67,535 (I),доц. Мявлина Нурзидя Жаферовна
