Корпус,Адрес,Тип помещения,Количество помещений,Площадь,Сотрудников
ГУК-1,"ул. Образцова, д. 9, стр.9",Учебные,73,4800.9,0
ГУК-2,"ул. Новосущевская, д.22, стр.1",Учебные,61,3416.1,0
ГУК-3,"ул. Новосущевская, д.22, стр.2",Учебные,69,5337.8,0
ГУК-4,"ул. Новосущевская, д.22, стр.З",Учебные,141,8145.7,0
ГУК-5,"ул. Образцова, д. 9, стр.З",Учебные,12,667.8,0
ГУК-6,"Ул. Образцова, д.9, стр.4",Учебные,41,2161.7,0
ГУК-7,"Минаевский пер., д. 2",Учебные,97,5708.7,0
ГУК-10,"ул. Образцова, д. 9, стр.1",Учебные,0,0.0,0
ГУК-11,"ул. Новосущевская, д.22, стр.7",Учебные,0,0.0,0
ГУК-12,"Новосущевская ул., д.26а",Учебные,31,1932.4,0
ГУК-13,"ул. Образцова, д.9, стр.7",Учебные,0,0.0,0
ГУК-14,"ул. Образцова, д.9, стр.8",Учебные,14,1165.2,0
РОАТ 1 корпус,"Часовая ул., д. 22/2, стр. 1",Учебные,75,4165.6,0
РОАТ 2 корпус,"Часовая ул., д. 22/2, стр. 2",Учебные,15,1042.9,0
РОАТ 3 корпус,"Часовая ул., д. 22/2, стр. 3",Учебные,0,0.0,0
РОАТ УЛК,"3-й Балтийский пер., д. 3",Учебные,10,520.6,0
МКТ 1 корпус,"Кучин пер., д.14, стр.1",Учебные,37,1206.3,0
МКТ 2 корпус,"Кучин пер., д.14, стр.2",Учебные,34,2336.5,0
МКТ 3 корпус,"Кучин пер., д.14, стр.9",Учебные,42,1154.3,0
МКТ 4 корпус,"Кучин пер., д.14, стр.15",Учебные,19,1861.0,0
МКТ  Люблинская,"Люблинская ул., д.88, стр.1",Учебные,100,4901.5,0
РАПС,"Октябрьский пер., д.7",Учебные,20,960.1,0
РАПС 2,"2-й Вышеславцев пер., д.17",Учебные,7,375.7,0
ДК,"Новосущевский пер,6,1",Учебные,11,209.9,0
ДФК,"ул. Новосущевская, д.24, стр.1",Учебные,5,1509.3,0
ДФК манеж,"ул. Новосущевская, д.24, стр.2",Учебные,5,2158.7,0
ДФК ВДНХ,"ул. Космонавтов, д. 11, стр. 2",Учебные,3,586.2,0
Гимназия,"2-й Лучевой просек, 5А",Учебные,15,504.4,0
