Подразделение,Аббревеатура,Учит студентов
Институт транспортной техники и систем управления (ИТТСУ),ИТТСУ,1
"Институт пути, строительства и сооружений (ИПСС)",ИПСС,1
Российская открытая академия транспорт (РОАТ),РОАТ,1
Институт управления и цифровых технологий (ИУЦТ),ИУЦТ,1
Институт экономики и финансов (ИЭФ),ИЭФ,1
Московский колледж транспорта (МКТ),МКТ,1
Российская академия путей сообщения (РАПС),РАПС,1
Дворец культуры,ДК,0
Юридический институт (ЮИ),ЮИ,1
Институт международных транспортных коммуникаций (ИМТК),ИМТК,1
Гимназия,Гимназия,1
Дом физкультуры (ДФК),ДФК,0
Административные подразделения,Адм,0
Академия базовой подготовки (АБП),АБП,0
Медицинский колледж,МК,1
Выставочный зал,ДК,0
Руководство университета,Рук,0
Центры,Центры,0
Музей,Музей,0
Военный учебный центр (ВУЦ),ВУЦ,0
Наука,Наука,0
Административные корпуса,Адм,0
Спортивный клуб,ДФК,0
"Правовой Колледж ЮИ, ПК ЮИ",ПК,0
Домовая церковь,Церковь,0
Академия водного транспорта (АВТ),АВТ,1
