№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
1,27.09.2021понедельник,12.2,13.5,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
2,27.09.2021понедельник,14.3,16.0,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,274А (II),доц. Чистый Юрий Антонович
3,28.09.2021вторник,9.0,10.3,лекция,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,268 (II),доц. Патрикеев Александр Владимирович
4,28.09.2021вторник,10.4,12.1,лекция,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,268 (II),доц. Патрикеев Александр Владимирович
5,28.09.2021вторник,12.2,13.5,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,372 (II),доц. Ольховая Людмила Ивановна
6,28.09.2021вторник,14.3,16.0,лекция,ЗСП-2911,,Пространственные конструкции зданий и сооружений,22,372 (II),доц. Ольховая Людмила Ивановна
7,29.09.2021среда,9.0,10.3,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,512 (I),доц. Чистый Юрий Антонович
8,29.09.2021среда,10.4,12.1,лекция,ЗСП-2911,,Современные методы моделирования строительных конструкций,22,512 (I),доц. Чистый Юрий Антонович
9,29.09.2021среда,12.2,13.5,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,521 (I),доц. Патрикеев Александр Владимирович
10,29.09.2021среда,14.3,16.0,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,521 (I),доц. Патрикеев Александр Владимирович
11,30.09.2021четверг,9.0,10.3,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,266 (II),доц. Патрикеев Александр Владимирович
12,30.09.2021четверг,10.4,12.1,прак. занятие,ЗСП-2911,,Проектирование оснований и фундаментов в сложных грунтовых условиях,22,266 (II),доц. Патрикеев Александр Владимирович
13,30.09.2021четверг,12.2,13.5,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,535 (I),доц. Привалов Игорь Терентьевич
14,30.09.2021четверг,14.3,16.0,лекция,ЗСП-2911,,Архитектура и композиционные основы проектирования,22,535 (I),доц. Привалов Игорь Терентьевич
15,01.10.2021пятница,9.0,10.3,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
16,01.10.2021пятница,10.4,12.1,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
17,01.10.2021пятница,12.2,13.5,лекция,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
18,01.10.2021пятница,14.3,16.0,прак. занятие,ЗСП-2911,,Особенности проектирования уникальных зданий и сооружений,22,371 (II),доц. Патрикеев Александр Владимирович
19,02.10.2021суббота,9.0,10.3,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
20,02.10.2021суббота,10.4,12.1,лекция,ЗСП-2911,,"Научные аспекты обследования зданий, сооружений и застройки",22,268 (II),доц. Салатов Евгений Константинович
