№ п/п,Наименование,Адрес,"Площадь, кв.м.",Год,Категория,Статья расходов,Источник,"Расходы, руб."
1,Учебный корпус,"Липецкая область, г. Елец, пер. Мельничный, д. 17",896.1,2020,балласт,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
1,Учебный корпус,"Липецкая область, г. Елец, пер. Мельничный, д. 17",896.1,2020,балласт,"Охрана и ТО, пожарная сигнализация ", внебюджет,535097.6291738305
2,Подземное хранилище,"Липецкая область, г. Елец, пер. Мельничный, д. 17",189.0,2020,балласт,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
2,Подземное хранилище,"Липецкая область, г. Елец, пер. Мельничный, д. 17",189.0,2020,балласт,"Охрана и ТО, пожарная сигнализация ", внебюджет,112859.5602207945
3,Уборная,"Липецкая область, г. Елец, пер. Мельничный, д. 17",20.0,2020,балласт,"Охрана и ТО, пожарная сигнализация ", бюджет,0.0
3,Уборная,"Липецкая область, г. Елец, пер. Мельничный, д. 17",20.0,2020,балласт,"Охрана и ТО, пожарная сигнализация ", внебюджет,11942.81060537508
4,Штаб школы (2-этажное здание),"Липецкая область, г. Елец, пер. Мельничный, д. 17",243.0,2020,балласт,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", бюджет,0.0
4,Штаб школы (2-этажное здание),"Липецкая область, г. Елец, пер. Мельничный, д. 17",243.0,2020,балласт,"Круглосусточное сервисное обслуживание системы бесперебойного электропитания, обслуживание АИИС К учета электроэнергии, ТО УУТЭ ", внебюджет,6545.454545454545
4,Штаб школы (2-этажное здание),"Липецкая область, г. Елец, пер. Мельничный, д. 17",243.0,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
4,Штаб школы (2-этажное здание),"Липецкая область, г. Елец, пер. Мельничный, д. 17",243.0,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,1015.6383004596636
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,Вывоз мусора , бюджет,0.0
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,Вывоз мусора , внебюджет,13594.866730341048
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,2969.0865668145902
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,Подготовка к зиме , бюджет,235082.01970278387
5,Здание административно-учебного корпуса,"Московская обл., Пушкинский р-н, город Пушкино, м-н Мамонтовка, ул. Октябрьская, 23",7098.7,2020,балласт,Подготовка к зиме , внебюджет,150726.75510166027
6,Здание спального корпуса № 1,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1070.3,2020,балласт,Вывоз мусора , бюджет,0.0
6,Здание спального корпуса № 1,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1070.3,2020,балласт,Вывоз мусора , внебюджет,2049.7535973465597
6,Здание спального корпуса № 1,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1070.3,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", бюджет,0.0
6,Здание спального корпуса № 1,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1070.3,2020,балласт,"Утилизация отходов, обезвреживание, утилизация объектов ", внебюджет,447.6613115727747
6,Здание спального корпуса № 1,"Московская область, г. Пушкино, мкр-н Мамонтовка, ул. Октябрьская, д. 23",1070.3,2020,балласт,Подготовка к зиме , бюджет,35444.27651371231
