Подразделение,Субсидия без ЦФ,Доля в субсидии,Субсидия с ЦФ,Внебюджет,Всего
 ИПСС,295324817.04,0.1667732293946906,490060466.20462805,275362742.15000004,765423208.3546281
 ИЭФ,64280393.91,0.03629985785340047,106666551.50449164,713833053.3299999,820499604.8344916
 ЮИ,14267681.51,0.008057119429537582,23675716.529785313,577057359.51,600733076.0397853
ИУЦТ,412259451.56,0.23280752621555986,684101190.8640032,698006458.91,1382107649.774003
ГИМНАЗИЯ,45605600.0,0.025753992728123294,75677695.56770664,39818244.72,115495940.28770664
МК,40954112.71,0.02312724579700918,67959041.73857872,115434136.8,183393178.53857872
РОАТ,140004529.07,0.079062124466581,232322787.7510568,612344844.66,844667632.4110568
МКТ,149669535.51,0.08452006177193438,248360849.19584084,264254626.16999996,512615475.3658408
ИТТСУ,415581576.89,0.23468356756992717,689613908.3671498,250293581.86,939907490.2271498
ИМТК,17978553.16,0.010152690181574588,29833517.65551402,127966659.53999999,157800177.19551402
АВТ,130287641.66,0.07357488939682788,216198635.2943484,28138645.849999998,244337281.14434838
КАВТ,39448297.97,0.022276895360574596,65460300.58672268,9006523.8,74466824.38672268
АБП,1288023.31,0.0007273611784384658,2137339.1850625766,3057600.0,5194939.185062576
Академия ВИШ,3866469.6,0.0021834386558209906,6415999.555111487,8974504.0,15390503.555111486
