Наименование структурного подразделения,Аббревеатура,количество студентов
Академия водного транспорта,АВТ,768
"Академия ""Высшая инженерная школа""",ВИШ,167
Институт международных транспортных коммуникаций,ИМТК,710
"Институт пути, строительства и сооружений",ИПСС,2648
Институт транспортной техники и систем управления,ИТТСУ,3941
Институт управления и цифровых технологий,ИУЦТ,4247
Институт экономики и финансов,ИЭФ,3572
Российская открытая академия транспорта,РОАТ,9851
Юридический институт,ЮИ,3167
Гимназия ,Гимназия ,688
"Колледж Академии водного транспорта им. Министра речного флота Л.В. Багрова, Колледж АВТ ",Колледж АВТ,402
Медицинский колледж,МК,1319
Московский колледж транспорта,МКТ,3517
