Unnamed: 0,Понедельник  2 мая,Вторник  3 мая,Среда  4 мая,Четверг  5 мая,Пятница  6 мая,Суббота  7 мая,Вторник,Среда,Четверг,Пятница,Понедельник
1 пара  08:00 — 09:30,,,Лабораторная работа  Основы SQL  Инанц Г.А.  Аудитория 8508,,,,,,,,
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Практическое занятие  Проектная деятельность  Игольников Б.В.  Аудитория 8507 Аудитория 8508,Лабораторная работа  Основы SQL  Инанц Г.А.  Аудитория 8508,Практическое занятие  Иностранный язык  Астафьева М.А.  Аудитория 8408,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,Практическое занятие  Проектная деятельность  Игольников Б.В.  Аудитория 8507 Аудитория 8508,Лабораторная работа  Системы программирования Python  Инанц Г.А.  Аудитория 8508,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,Практическое занятие  Проектная деятельность  Игольников Б.В.  Аудитория 8507 Аудитория 8508,,Практическое занятие  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8408,"Лекция, Лекция  Математическая статистика и теория вероятностей  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113",,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Математическая статистика и теория вероятностей  Аудитория 8409,,,Практическое занятие  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8408,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8507 Аудитория 8508,,,,,,
1 пара  08:00 — 09:30,,,Лабораторная работа  Основы SQL  Боков А.В.  Аудитория 8507,,,,,,,,
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Практическое занятие  Проектная деятельность  Козловцева Е.А.  Аудитория 8507 Аудитория 8508,Лабораторная работа  Основы SQL  Боков А.В.  Аудитория 8507,,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8409,Практическое занятие  Проектная деятельность  Козловцева Е.А.  Аудитория 8507 Аудитория 8508,Лабораторная работа  Системы программирования Python  Зенковский И.В.  Аудитория 8507,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,Практическое занятие  Проектная деятельность  Козловцева Е.А.  Аудитория 8507 Аудитория 8508,Практическое занятие  Иностранный язык  Астафьева М.А. Исаева С.М.  Аудитория 8408 Аудитория 8409,,"Лекция, Лекция  Математическая статистика и теория вероятностей  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113",,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,,,,Практическое занятие  Математическая статистика и теория вероятностей  Аудитория 8408,,,,,,
6 пара  16:40 — 18:10,,,,,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8507 Аудитория 8508,,,,,,
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8508 Аудитория 8511,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,,Практическое занятие  Иностранный язык  Астафьева М.А. Исаева С.М.  Аудитория 8408 Аудитория 8409,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Математическая статистика и теория вероятностей  Аудитория 8409,,Лабораторная работа  Системы программирования Python  Зенковский И.В.  Аудитория 8511,,"Лекция, Лекция  Математическая статистика и теория вероятностей  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113",,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,,Лабораторная работа  Основы SQL  Боков А.В.  Аудитория 8511,,,,,,,,
6 пара  16:40 — 18:10,,,Лабораторная работа  Основы SQL  Боков А.В.  Аудитория 8511,,,,,,,,
1 пара  08:00 — 09:30,Лабораторная работа  Основы программирования  Журавлев И.А.  Аудитория 8507  ШМС-111 п/гр.1,,,,,,,,,,
2 пара  09:40 — 11:10,Лабораторная работа  Основы программирования  Журавлев И.А.  Аудитория 8508  ШМС-111 п/гр.1,Лекция  Математика  Лайпанова А.М.  Аудитория 8516,Лекция; Практическое занятие  Тайм-менеджмент и личная эффективность  Лазуткина В.С.  Аудитория 8407,,,,,,,,
3 пара  11:20 — 12:50,,Лекция  Физика  Давыдов А.М.  Аудитория 8408,Практическое занятие  Математика  Лайпанова А.М.,Лабораторная работа  Структурированные кабельные системы,,,,,,,
4 пара  13:20 — 14:50,Лабораторная работа  Основы программирования  Журавлев И.А.  Аудитория 8507  ШМС-111 п/гр.2,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,Практическое занятие  Информационные кабельные сети,,,,,,,
5 пара  15:00 — 16:30,Лабораторная работа  Основы программирования  Журавлев И.А.  Аудитория 8507  ШМС-111 п/гр.2,,Практическое занятие  Иностранный язык  Астафьева М.А.  Аудитория 8408  ШМС-111 п/гр.1  Практическое занятие  Иностранный язык  Исаева С.М.  Аудитория 8409  ШМС-111 п/гр.2,Практическое занятие  Структурированные кабельные системы,,,,,,,
6 пара  16:40 — 18:10,,,,Лабораторная работа  Структурированные кабельные системы,,,,,,,
7 пара  18:20 — 19:50,"Лекция  Моделирование транспортных потоков, базовый уровень  Аудитория 8511","Практическое занятие  Моделирование транспортных потоков, базовый уровень  Аудитория 8511",Лекция  Мультимодальные транспортные системы  Аудитория 8511,Практическое занятие  Инженерия транспортных систем  Аудитория 8511,,,,,,,
8 пара  20:00 — 21:30,Лекция  Инженерия транспортных систем  Аудитория 8511,"Практическое занятие  Моделирование транспортных потоков, базовый уровень  Аудитория 8511",Практическое занятие  Мультимодальные транспортные системы  Аудитория 8511,Практическое занятие  Инженерия транспортных систем  Аудитория 8511,,,,,,,
1 пара  08:00 — 09:30,Лабораторная работа  Проектная деятельность  Изотов А.С.  Аудитория 8509  ШТД-111 п/гр.2,"Лекция, Лекция  Физика  Давыдов А.М.  Аудитория 8408",Лекция  Основы перспективы и рисунка  Изотов А.С.  Аудитория 8407,Лабораторная работа  Дизайн-проектирование  Храповицкий В.А.  Аудитория 8509  ШТД-111 п/гр.1,,,,,,,
2 пара  09:40 — 11:10,Лабораторная работа  Проектная деятельность  Изотов А.С.  Аудитория 8509  ШТД-111 п/гр.2,"Практическое занятие, Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408","Практическое занятие, Практическое занятие  Иностранный язык  Астафьева М.А. Исаева С.М.  Аудитория 8408 Аудитория 8409",Лабораторная работа  Дизайн-проектирование  Храповицкий В.А.  Аудитория 8509  ШТД-111 п/гр.1,Лабораторная работа  Эскизирование и деталирование  Закирченко А.Ю.  Аудитория 8408  ШТД-111 п/гр.1,,,,,,
