Unnamed: 0,Понедельник  25 апреля,Вторник  26 апреля,Среда  27 апреля,Четверг  28 апреля,Пятница  29 апреля,Суббота  30 апреля,Вторник,Среда,Четверг,Пятница,Понедельник
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,Лабораторная работа  Основы SQL  Инанц Г.А.  Аудитория 8508,Практическое занятие  Иностранный язык  Астафьева М.А.  Аудитория 8408,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,,Лабораторная работа  Системы программирования Python  Инанц Г.А.  Аудитория 8508,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Основы SQL  Игольников Б.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,,,,"Лекция, Лекция  Математическая статистика и теория вероятностей  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113",,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Математическая статистика и теория вероятностей  Аудитория 8409,,,,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8507 Аудитория 8508,,,,,,
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,Лабораторная работа  Основы SQL  Боков А.В.  Аудитория 8507,,,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8409,,Лабораторная работа  Системы программирования Python  Зенковский И.В.  Аудитория 8507,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Основы SQL  Игольников Б.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
4 пара  13:20 — 14:50,Практическое занятие  Физическая культура и спорт  Фёдорова Т.Ю.,,Практическое занятие  Иностранный язык  Астафьева М.А. Исаева С.М.  Аудитория 8408 Аудитория 8409,,"Лекция, Лекция  Математическая статистика и теория вероятностей  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113",,,,,,
5 пара  15:00 — 16:30,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,,,,Практическое занятие  Математическая статистика и теория вероятностей  Аудитория 8408,,,,,,
6 пара  16:40 — 18:10,,,,,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8507 Аудитория 8508,,,,,,
2 пара  09:40 — 11:10,Лекция  Физика  Давыдов А.М.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Практическое занятие  Проектная деятельность  Игольников Б.В.  Аудитория 8507 Аудитория 8508,,,Лабораторная работа  Анализ данных в Excel  Атамасов Н.В.  Аудитория 8508 Аудитория 8511,,,,,,
3 пара  11:20 — 12:50,Практическое занятие  Физика  Давыдов А.М.  Аудитория 8408,Практическое занятие  Проектная деятельность  Игольников Б.В.  Аудитория 8507 Аудитория 8508,Практическое занятие  Иностранный язык  Астафьева М.А. Исаева С.М.  Аудитория 8408 Аудитория 8409,Лекция  Математика (Линейная алгебра)  Ряднов А.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,Лекция  Основы SQL  Игольников Б.В.  Аудитория 8516  ШАД-111 ШАД-112 ШАД-113,,,,,,
